,,-,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3
,,-,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4
,,mtu,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c
r100d5,1,"[54, 60, 52]",False,"[57, 60, 54]",False,"[64, 67, 61]",200,78,1340048,2577540048,False,"[61, 62, 61]",112,47,1084589,2460820589,False,"[57, 61, 55]",53,21,801139,2305160139,False,"[57, 60, 54]",54,23,792962,2285554962,True,"[54, 56, 52]",False,"[59, 63, 57]",200,76,1340048,2397140048,False,"[57, 62, 57]",110,47,1071896,2340801896,False,"[54, 56, 56]",51,22,776600,2205329600,False,"[54, 56, 54]",51,22,780387,2185333387,True,"[37, 42, 39]",True,"[52, 54, 50]",200,53,1340048,2092540048,True,"[49, 54, 50]",104,35,1063285,2028375285,True,"[38, 45, 42]",48,17,753528,1634297528,True,"[38, 46, 40]",47,16,741481,1624082481
r100d5,2,"[74, 68]",False,"[68, 77]",False,"[81, 97]",200,79,1331984,1861726984,False,"[81, 97]",59,24,889815,1804609815,False,"[68, 77]",37,17,564114,1465449114,False,"[68, 77]",36,16,552080,1465032080,False,"[68, 72]",False,"[78, 87]",200,76,1331984,1731711984,False,"[78, 87]",60,24,890803,1675010803,False,"[68, 72]",34,14,531070,1414201070,False,"[68, 72]",34,14,525474,1414195474,True,"[45, 54]",False,"[62, 76]",200,49,1331984,1461576984,False,"[62, 75]",60,15,857618,1394932618,True,"[56, 55]",32,10,510308,1123360308,True,"[52, 55]",31,9,494254,1082939254
r100d5,3,"[36, 48, 46, 36]",False,"[33, 47, 49, 36]",False,"[43, 57, 58, 40]",200,79,1395064,1618795064,False,"[40, 54, 58, 40]",77,31,1016772,656370772,False,"[39, 48, 50, 38]",43,18,707049,393893049,False,"[34, 48, 49, 39]",43,18,693099,391379099,False,"[30, 44, 47, 36]",False,"[37, 52, 51, 40]",200,76,1395064,1554595064,False,"[37, 49, 51, 40]",78,30,1012872,633668872,False,"[31, 44, 47, 39]",38,16,639052,349215052,False,"[30, 44, 47, 39]",39,17,632831,368710831,True,"[21, 29, 27, 24]",True,"[29, 41, 40, 30]",200,48,1395064,987395064,True,"[29, 37, 40, 30]",75,23,1023580,486373580,True,"[25, 31, 31, 29]",39,13,636358,282314358,True,"[25, 31, 32, 29]",38,13,640162,282416162
r100d5,4,"[38, 34, 18, 40, 28]",False,"[40, 36, 22, 40, 32]",False,"[44, 41, 28, 46, 32]",200,87,1433788,6060381788,False,"[44, 41, 28, 46, 32]",126,58,1151484,3839983484,False,"[40, 39, 22, 46, 32]",82,38,956865,2515908865,False,"[40, 36, 22, 46, 32]",82,38,934839,2514686839,False,"[40, 36, 21, 39, 29]",False,"[44, 41, 26, 44, 29]",200,86,1433788,6058077788,False,"[44, 41, 26, 44, 29]",127,57,1145553,3867673553,False,"[40, 39, 22, 44, 29]",79,38,915355,2424167355,False,"[40, 39, 22, 44, 29]",79,38,906141,2424158141,True,"[28, 23, 13, 30, 21]",False,"[34, 33, 22, 38, 27]",200,50,1433788,6048933788,False,"[34, 32, 19, 38, 27]",113,35,1106667,3437246667,True,"[30, 29, 14, 34, 25]",68,23,792174,2081584174,True,"[33, 27, 14, 34, 25]",65,22,772023,1991660023
r100d5,5,"[82, 82]",False,"[79, 89]",False,"[93, 106]",200,78,1577380,790680200078,False,"[93, 106]",119,51,1210448,607214119051,False,"[85, 90]",75,32,965474,484487075032,False,"[89, 96]",74,32,937964,470832074032,False,"[76, 86]",False,"[89, 103]",200,77,1577380,790610200077,False,"[89, 103]",118,50,1208212,606026118050,False,"[84, 87]",73,33,942874,473147073033,False,"[88, 95]",70,31,904876,454268070031,True,"[52, 64]",False,"[70, 86]",200,52,1577380,790250200052,True,"[70, 81]",111,37,1177170,590095111037,True,"[58, 68]",64,21,841046,421783064021,True,"[66, 73]",64,21,830330,416555064021
r100d10,1,"[24, 40, 34]",True,"[24, 33, 33]",False,"[28, 44, 43]",200,37,1462132,3020762132,False,"[28, 39, 43]",105,19,1128995,2961048995,False,"[25, 34, 36]",69,12,898850,2537174850,True,"[24, 34, 34]",65,12,863175,2427123175,True,"[21, 31, 29]",False,"[26, 40, 33]",200,30,1462132,2517262132,False,"[26, 38, 33]",106,15,1151555,2489075555,True,"[21, 34, 29]",63,11,822548,2136574548,True,"[21, 32, 31]",61,11,796239,2196540239,True,"[14, 21, 17]",False,"[25, 35, 28]",200,33,1462132,2238762132,True,"[22, 35, 26]",101,12,1125235,2057529235,True,"[15, 27, 23]",63,8,834237,1645086237,True,"[15, 27, 20]",59,8,776373,1525012373
r100d10,2,"[26, 24, 22, 20, 22]",False,"[17, 17, 18, 18, 23]",False,"[24, 22, 28, 28, 31]",200,40,1378108,3861498108,False,"[24, 22, 26, 27, 31]",72,12,1013385,3705449385,False,"[21, 21, 21, 24, 23]",38,6,637236,3138255236,False,"[19, 21, 27, 26, 23]",36,6,581349,3457799349,True,"[17, 14, 18, 18, 18]",False,"[22, 19, 20, 27, 26]",200,35,1378108,3311483108,False,"[22, 19, 19, 27, 24]",67,10,951206,3204381206,False,"[17, 17, 18, 23, 18]",36,5,596545,2747811545,False,"[18, 17, 18, 23, 18]",36,5,584690,2757799690,True,"[10, 11, 10, 11, 14]",True,"[17, 17, 17, 18, 22]",200,32,1378108,2571474108,True,"[17, 17, 17, 18, 20]",72,11,992206,2505425206,True,"[13, 13, 16, 14, 15]",38,5,616642,2038231642,True,"[13, 15, 15, 15, 15]",37,4,604292,2088016292
r100d10,3,"[46, 38]",False,"[55, 45]",False,"[77, 54]",200,41,1064568,2064364568,False,"[68, 53]",83,14,883529,713066529,False,"[55, 50]",45,8,596781,411141781,False,"[55, 46]",44,8,591804,410735804,False,"[49, 29]",False,"[59, 35]",200,32,1064568,1610664568,False,"[56, 35]",77,12,870754,610047754,False,"[50, 33]",45,6,603528,308948528,False,"[49, 29]",43,6,581891,308424891,True,"[30, 19]",False,"[49, 35]",200,34,1064568,1709664568,True,"[44, 35]",71,10,825962,508796962,True,"[32, 27]",41,5,580102,256521102,True,"[32, 27]",42,5,584938,256526938
r100d10,4,"[32, 34, 30, 18]",True,"[23, 26, 25, 17]",False,"[25, 33, 27, 19]",200,34,1558304,8049226304,False,"[25, 33, 27, 19]",94,15,1088041,3808718041,False,"[25, 28, 26, 19]",50,9,642104,2045260104,False,"[25, 26, 25, 19]",50,9,630938,2043748938,True,"[25, 20, 22, 12]",True,"[27, 26, 24, 17]",200,32,1558304,8044222304,True,"[27, 26, 24, 17]",99,16,1111786,4003743786,True,"[25, 20, 23, 13]",50,8,661044,2037377044,True,"[25, 20, 23, 13]",50,9,647984,2037365984,True,"[15, 14, 11, 9]",True,"[27, 26, 20, 16]",200,35,1558304,8041828304,True,"[27, 26, 20, 16]",93,14,1092030,3761320030,True,"[27, 19, 19, 13]",51,7,670611,2075684611,True,"[27, 19, 14, 13]",49,7,639728,1993153728
r100d10,5,"[30, 34, 20]",False,"[33, 25, 14]",False,"[39, 39, 24]",200,43,1400604,142970800043,False,"[39, 37, 22]",105,20,1085434,111353610020,False,"[33, 28, 14]",57,10,752952,77455314010,False,"[33, 30, 16]",55,9,729946,75254710009,False,"[33, 25, 15]",False,"[36, 29, 18]",200,33,1400604,142510800033,False,"[36, 29, 18]",110,21,1055235,107973720021,False,"[33, 26, 15]",62,10,846825,86862624010,False,"[33, 28, 16]",61,11,823753,84615422011,True,"[15, 14, 9]",True,"[25, 26, 16]",200,31,1400604,141960800031,True,"[23, 24, 15]",97,15,1085242,110284394015,True,"[18, 17, 10]",53,7,721671,73457206007,True,"[18, 18, 11]",50,7,691229,70463000007
r500d15,1,"[76, 50, 78, 68]",True,"[53, 40, 64, 48]",False,"[77, 61, 85, 74]",1000,95,7626372,6981626372,False,"[74, 61, 85, 70]",526,50,5733618,6798363618,True,"[56, 44, 74, 51]",236,22,3104822,5368684822,True,"[60, 42, 71, 50]",228,22,2979759,5358519759,True,"[53, 39, 56, 45]",False,"[67, 52, 76, 64]",1000,89,7626372,6120426372,False,"[67, 52, 76, 64]",520,44,5667587,6107067587,True,"[54, 42, 67, 46]",235,20,3114406,4978289406,True,"[54, 42, 66, 46]",224,18,2961461,4947681461,True,"[37, 28, 40, 33]",True,"[61, 49, 69, 55]",1000,90,7626372,5520626372,True,"[61, 49, 69, 55]",522,44,5696356,5507106356,True,"[50, 36, 57, 35]",224,22,2970866,4278490866,True,"[50, 34, 56, 35]",220,19,2885949,4227785949
r500d15,2,"[64, 102, 110]",True,"[51, 79, 85]",False,"[77, 118, 115]",1000,106,6920976,8357026976,False,"[71, 109, 115]",418,41,5226650,7788867650,True,"[51, 87, 90]",182,17,3104945,5979521945,True,"[51, 87, 90]",171,16,2900806,5977116806,True,"[51, 73, 70]",False,"[68, 99, 95]",1000,91,6920976,7117011976,False,"[65, 92, 95]",417,37,5186644,6698623644,True,"[51, 76, 74]",178,16,3053657,5328669657,True,"[51, 75, 80]",176,16,2915296,5418131296,True,"[38, 52, 54]",False,"[66, 83, 88]",1000,88,6920976,6437008976,True,"[62, 77, 82]",402,35,5242793,5895677793,True,"[40, 60, 70]",179,17,3049577,4438866577,True,"[40, 60, 71]",170,17,2885269,4456902269
r500d15,3,"[154, 124]",True,"[125, 110]",False,"[164, 148]",1000,104,7283956,5300283956,False,"[158, 144]",504,54,5440730,2795144730,True,"[127, 119]",204,23,2663315,1225867315,True,"[126, 118]",200,22,2597704,1175197704,True,"[108, 92]",False,"[147, 130]",1000,93,7283956,4739683956,False,"[144, 126]",504,49,5443363,2535147363,True,"[112, 103]",209,23,2771184,1216580184,True,"[112, 103]",202,22,2688221,1166490221,True,"[82, 71]",True,"[135, 122]",1000,100,7283956,5084083956,True,"[132, 119]",482,48,5270808,2479752808,True,"[95, 90]",202,23,2685781,1207887781,True,"[95, 95]",196,22,2586712,1159782712
r500d15,4,"[74, 94, 88]",True,"[66, 86, 78]",False,"[87, 120, 103]",1000,99,5585480,40086981480,False,"[79, 116, 98]",345,33,4274198,13880706198,False,"[66, 97, 88]",150,15,2253731,6067913731,False,"[66, 95, 80]",147,15,2128884,5944988884,True,"[63, 84, 76]",False,"[86, 108, 91]",1000,98,5585480,40080677480,False,"[76, 108, 91]",350,33,4292352,14076124352,True,"[63, 92, 78]",150,14,2235566,6062991566,True,"[63, 91, 78]",145,14,2091334,5862647334,True,"[44, 59, 51]",True,"[69, 94, 85]",1000,83,5585480,40070917480,True,"[61, 92, 85]",339,27,4309629,13626617629,True,"[47, 70, 69]",156,13,2284245,6291136245,True,"[47, 68, 69]",149,13,2187071,6010639071
r500d15,5,"[108, 108, 114]",True,"[82, 83, 88]",False,"[106, 111, 120]",1000,104,7400508,1484676600104,False,"[106, 108, 115]",458,48,5260077,1056457690048,True,"[102, 95, 88]",192,17,2579490,519628960017,True,"[97, 92, 96]",183,17,2383385,480487915017,True,"[75, 72, 78]",False,"[96, 98, 115]",1000,96,7400508,1484346600096,True,"[96, 94, 108]",459,44,5246508,1053363895044,True,"[89, 81, 79]",187,17,2515568,506394535017,True,"[87, 84, 90]",178,15,2311469,465804690015,True,"[50, 52, 62]",True,"[81, 83, 104]",1000,90,7400508,1483826600090,True,"[81, 80, 104]",457,44,5201434,1043979085044,True,"[64, 68, 66]",188,17,2573224,517285740017,True,"[74, 77, 77]",179,16,2357500,474550895016
r1000d25,1,"[146, 162]",True,"[124, 123]",False,"[170, 175]",2000,108,14934056,13879734056,False,"[170, 174]",864,48,10181622,13816709622,True,"[128, 144]",307,16,4305836,11046519836,True,"[127, 143]",292,15,4059644,10966143644,True,"[111, 107]",False,"[161, 155]",2000,104,14934056,12609334056,False,"[160, 155]",861,45,10263887,12566485887,True,"[122, 128]",307,16,4306009,10066520009,True,"[122, 124]",297,15,4113719,9866207719,True,"[85, 89]",True,"[135, 147]",2000,103,14934056,11429234056,True,"[135, 147]",859,47,10244964,11416662964,True,"[101, 113]",309,16,4313746,8686531746,True,"[100, 111]",294,15,4070151,8556158151
r1000d25,2,"[56, 82, 84, 86]",True,"[51, 67, 70, 64]",False,"[72, 93, 98, 89]",2000,107,14966092,13785180092,False,"[68, 93, 98, 84]",921,55,10774498,13392984498,True,"[52, 75, 78, 73]",382,22,5584506,10873828506,True,"[52, 78, 78, 73]",365,20,5327215,11021867215,True,"[47, 60, 71, 61]",False,"[65, 87, 95, 85]",2000,106,14966092,13065178092,False,"[61, 87, 92, 82]",909,49,10755071,12631753071,True,"[48, 77, 78, 66]",383,19,5618579,10613956579,True,"[48, 74, 76, 66]",365,19,5312906,10381850906,True,"[36, 42, 46, 45]",False,"[61, 73, 79, 76]",2000,119,14966092,11285204092,False,"[58, 73, 79, 71]",883,55,10722480,10909132480,True,"[38, 60, 62, 60]",369,20,5449676,8682389676,True,"[38, 56, 62, 59]",357,19,5231033,8440969033
r1000d25,3,"[88, 108, 98]",True,"[84, 95, 98]",False,"[111, 135, 138]",2000,117,10928396,3682928396,False,"[111, 135, 122]",613,36,8082721,1239521721,False,"[95, 102, 100]",220,12,3445394,483605394,False,"[96, 109, 98]",208,10,3187320,426311320,True,"[81, 89, 81]",False,"[104, 115, 108]",2000,107,10928396,3358828396,False,"[104, 115, 102]",615,32,8212926,1099557926,False,"[91, 97, 81]",223,14,3512719,532381719,False,"[89, 96, 81]",209,10,3199105,410926105,True,"[56, 64, 62]",False,"[95, 103, 100]",2000,107,10928396,3346928396,False,"[95, 103, 89]",604,32,8211111,1085623111,True,"[69, 86, 68]",216,11,3390397,424938397,True,"[68, 91, 68]",208,11,3175855,426899855
r1000d25,4,"[90, 62, 82, 88]",True,"[71, 49, 68, 73]",False,"[99, 72, 89, 100]",2000,107,10882872,100093096872,False,"[99, 64, 89, 100]",633,34,8369330,31738837330,True,"[78, 50, 78, 86]",257,13,3932593,12920958593,True,"[78, 50, 73, 78]",242,12,3615640,12167239640,True,"[57, 43, 56, 67]",False,"[78, 60, 77, 89]",2000,111,10882872,100080804872,False,"[78, 54, 77, 89]",625,34,8272313,31326840313,True,"[62, 43, 70, 80]",257,13,3976775,12913002775,True,"[62, 43, 64, 74]",239,13,3655559,12009681559,True,"[44, 35, 44, 48]",True,"[74, 56, 72, 77]",2000,105,10882872,100074592872,True,"[74, 50, 72, 77]",613,31,8120478,30720482478,True,"[57, 36, 60, 66]",256,13,3975004,12854401004,True,"[55, 36, 59, 65]",239,12,3638722,12003162722
r1000d25,5,"[124, 102, 114]",True,"[84, 85, 89]",False,"[114, 119, 134]",2000,115,14714596,1483813600115,False,"[114, 114, 134]",780,47,9848355,997037060047,True,"[98, 89, 107]",259,15,3925099,402400418015,True,"[95, 98, 112]",228,12,3348595,345129956012,True,"[79, 83, 85]",False,"[108, 107, 111]",2000,102,14714596,1482353600102,False,"[108, 103, 111]",764,44,9756229,986394428044,True,"[92, 87, 96]",265,14,3994060,408616530014,True,"[93, 87, 98]",240,13,3522766,361597080013,True,"[63, 60, 60]",True,"[107, 96, 100]",2000,102,14714596,1481553600102,True,"[107, 93, 100]",745,39,9606137,970615190039,True,"[87, 75, 85]",261,13,3938502,402110722013,True,"[94, 75, 79]",232,12,3397690,347999464012
r1000d30,1,"[40, 50, 72, 54, 48]",True,"[38, 39, 48, 54, 44]",False,"[46, 60, 65, 73, 64]",2000,107,15037328,11097837328,False,"[46, 60, 65, 73, 64]",1028,51,11261928,11066801928,False,"[38, 47, 56, 57, 55]",454,21,6091395,9026761395,False,"[38, 47, 52, 57, 55]",433,20,5763069,8905928069,True,"[35, 39, 48, 50, 34]",False,"[41, 54, 63, 68, 51]",2000,94,15037328,10002637328,False,"[41, 54, 63, 65, 51]",1007,48,11164092,9855399092,False,"[35, 44, 57, 58, 39]",438,18,5891690,8375281690,True,"[35, 43, 54, 53, 43]",423,18,5658564,8164973564,True,"[24, 30, 34, 34, 25]",False,"[41, 49, 56, 54, 45]",2000,92,15037328,8851837328,True,"[39, 49, 56, 54, 45]",996,46,11013288,8744393288,True,"[26, 38, 49, 45, 35]",431,19,5852366,6895607366,True,"[26, 39, 48, 44, 35]",416,18,5630870,6864910870
r1000d30,2,"[68, 54, 74, 70]",True,"[48, 52, 52, 58]",False,"[72, 65, 72, 76]",2000,97,15306308,11025597308,False,"[72, 65, 72, 76]",1012,51,11189992,10626142992,True,"[57, 52, 66, 60]",407,19,5507473,8518364473,True,"[55, 52, 65, 60]",396,19,5317905,8383774905,True,"[46, 49, 45, 54]",False,"[65, 62, 65, 77]",2000,89,15306308,10485573308,False,"[62, 62, 65, 77]",1023,45,11361433,9940696433,True,"[52, 49, 61, 62]",408,18,5556518,8188810518,True,"[52, 49, 56, 62]",394,18,5295877,8032949877,True,"[35, 32, 35, 39]",True,"[59, 50, 57, 61]",2000,90,15306308,9025576308,True,"[59, 50, 57, 61]",986,42,11154289,8615680289,True,"[49, 35, 51, 53]",406,17,5548868,7147999868,True,"[49, 35, 51, 52]",393,16,5338395,7092586395
r1000d30,3,"[64, 64, 50, 62]",True,"[58, 64, 35, 56]",False,"[83, 84, 51, 75]",2000,89,13904320,2758904320,False,"[81, 84, 49, 70]",729,34,10120213,1101078213,False,"[63, 72, 35, 59]",321,14,5604841,482446841,False,"[62, 69, 35, 57]",308,14,5347663,480663663,True,"[52, 55, 35, 57]",False,"[77, 78, 51, 69]",2000,87,13904320,2694104320,False,"[75, 78, 49, 69]",732,32,10160882,1036824882,True,"[60, 63, 36, 58]",314,14,5585462,478513462,False,"[59, 66, 36, 57]",307,15,5360269,508674269,True,"[36, 37, 27, 38]",True,"[62, 62, 46, 62]",2000,90,13904320,2772104320,True,"[62, 62, 46, 59]",731,32,10238298,1025600298,True,"[48, 49, 29, 46]",306,12,5478680,407490680,True,"[50, 50, 29, 46]",299,12,5267782,408365782
r1000d30,4,"[76, 64, 70, 66]",True,"[70, 53, 48, 58]",False,"[89, 75, 69, 77]",2000,90,14606852,60118556852,False,"[83, 72, 69, 77]",841,38,10242189,25339432189,False,"[71, 54, 65, 67]",349,15,5141211,10557416211,True,"[71, 54, 65, 62]",329,14,4828905,9956598905,True,"[64, 55, 47, 50]",False,"[79, 67, 63, 66]",2000,88,14606852,60107246852,False,"[79, 64, 63, 66]",863,38,10259360,25991149360,True,"[69, 56, 62, 63]",360,15,5296219,10886571219,True,"[69, 56, 58, 61]",338,14,4920744,10225190744,True,"[41, 36, 36, 38]",False,"[71, 67, 62, 63]",2000,82,14606852,60102716852,True,"[65, 57, 62, 63]",831,36,10385120,25020265120,True,"[54, 41, 53, 55]",337,14,5029028,10178699028,True,"[52, 41, 52, 53]",319,13,4770028,9637035028
r1000d30,5,"[56, 102, 70]",True,"[49, 76, 58]",False,"[74, 103, 79]",2000,92,15092792,1517153200092,False,"[68, 103, 78]",933,44,11117301,1119351966044,True,"[49, 89, 63]",432,20,6209547,627105564020,True,"[54, 90, 67]",423,19,5814263,587857146019,True,"[51, 72, 57]",False,"[67, 101, 73]",2000,86,15092792,1516733200086,False,"[63, 101, 70]",948,45,11133125,1120574396045,True,"[51, 84, 60]",444,21,6328573,638858188021,True,"[53, 88, 63]",431,20,6011321,607402962020,True,"[33, 55, 39]",True,"[56, 89, 63]",2000,92,15092792,1515713200092,True,"[54, 86, 63]",937,42,11087062,1114938074042,True,"[36, 71, 47]",420,19,6124426,617193440019,True,"[41, 73, 52]",416,20,5793283,584409132020
